timestep,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
limitWindOffNL,2767897.233,4698521.467,6629145.7,8559769.933,10490394.17,12421018.4,14351642.63,16282266.87,18212891.1,20143515.33,22074139.57,24004763.8,25935388.03,27866012.27,29796636.5,31727260.73,33657884.97,35588509.2,37519133.43,39449757.67,41380381.9,43311006.13,45241630.37,47172254.6,49102878.83,51033503.07,52964127.3,54894751.53,56825375.77,58756000,60686624.23,62617248.47,64547872.7,66478496.93,68409121.17,70339745.4,72270369.63,74200993.87,76131618.1,78062242.33,79992866.57,81923490.8,83854115.03,85784739.27,87715363.5,89645987.73,91576611.97,93507236.2,95437860.43,97368484.67,99299108.9,101229733.1,103160357.4,105090981.6,107021605.8
limitWindOnNL,2380969.007,2610314.904,2839660.8,3069006.696,3298352.593,3527698.489,3757044.385,3986390.281,4215736.178,4445082.074,4674427.97,4903773.867,5133119.763,5362465.659,5591811.556,5821157.452,6050503.348,6279849.244,6509195.141,6738541.037,6967886.933,7197232.83,7426578.726,7655924.622,7885270.519,8114616.415,8343962.311,8573308.207,8802654.104,9032000,9261345.896,9490691.793,9720037.689,9949383.585,10178729.48,10408075.38,10637421.27,10866767.17,11096113.07,11325458.96,11554804.86,11784150.76,12013496.65,12242842.55,12472188.44,12701534.34,12930880.24,13160226.13,13389572.03,13618917.93,13848263.82,14077609.72,14306955.61,14536301.51,14765647.41
limitPVNL,-1600603.818,-712003.5455,176596.7273,1065197,1953797.273,2842397.545,3730997.818,4619598.091,5508198.364,6396798.636,7285398.909,8173999.182,9062599.455,9951199.727,10839800,11728400.27,12617000.55,13505600.82,14394201.09,15282801.36,16171401.64,17060001.91,17948602.18,18837202.45,19725802.73,20614403,21503003.27,22391603.55,23280203.82,24168804.09,25057404.36,25946004.64,26834604.91,27723205.18,28611805.45,29500405.73,30389006,31277606.27,32166206.55,33054806.82,33943407.09,34832007.36,35720607.64,36609207.91,37497808.18,38386408.45,39275008.73,40163609,41052209.27,41940809.55,42829409.82,43718010.09,44606610.36,45495210.64,46383810.91
limitWindOffDE,8303691.699,14095564.4,19887437.1,25679309.8,31471182.51,37263055.2,43054927.89,48846800.61,54638673.3,60430545.99,66222418.71,72014291.4,77806164.09,83598036.81,89389909.5,95181782.19,100973654.9,106765527.6,112557400.3,118349273,124141145.7,129933018.4,135724891.1,141516763.8,147308636.5,153100509.2,158892381.9,164684254.6,170476127.3,176268000,182059872.7,187851745.4,193643618.1,199435490.8,205227363.5,211019236.2,216811108.9,222602981.6,228394854.3,234186727,239978599.7,245770472.4,251562345.1,257354217.8,263146090.5,268937963.2,274729835.9,280521708.6,286313581.3,292105454,297897326.7,303689199.3,309481072.2,315272944.8,321064817.4
limitWindOnDE,7142907.021,7830944.712,8518982.4,9207020.088,9895057.779,10583095.47,11271133.16,11959170.84,12647208.53,13335246.22,14023283.91,14711321.6,15399359.29,16087396.98,16775434.67,17463472.36,18151510.04,18839547.73,19527585.42,20215623.11,20903660.8,21591698.49,22279736.18,22967773.87,23655811.56,24343849.25,25031886.93,25719924.62,26407962.31,27096000,27784037.69,28472075.38,29160113.07,29848150.76,30536188.44,31224226.14,31912263.81,32600301.51,33288339.21,33976376.88,34664414.58,35352452.28,36040489.95,36728527.65,37416565.32,38104603.02,38792640.72,39480678.39,40168716.09,40856753.79,41544791.46,42232829.16,42920866.83,43608904.53,44296942.23
limitPVDE,-4801811.454,-2136010.637,529790.1819,3195591,5861391.819,8527192.635,11192993.45,13858794.27,16524595.09,19190395.91,21856196.73,24521997.55,27187798.37,29853599.18,32519400,35185200.81,37851001.65,40516802.46,43182603.27,45848404.08,48514204.92,51180005.73,53845806.54,56511607.35,59177408.19,61843209,64509009.81,67174810.65,69840611.46,72506412.27,75172213.08,77838013.92,80503814.73,83169615.54,85835416.35,88501217.19,91167018,93832818.81,96498619.65,99164420.46,101830221.3,104496022.1,107161822.9,109827623.7,112493424.5,115159225.4,117825026.2,120490827,123156627.8,125822428.7,128488229.5,131154030.3,133819831.1,136485631.9,139151432.7
